abandoned,បោះបង់ចោល
bradley,ប្រេដលី
brain,ខួរក្បាល
brake,ហ្វ្រាំង
brakes,ហ្វ្រាំង
branch,សាខា
branches,មែកឈើ
brand,ម៉ាក
brandon,ប្រេនដុន
brands,ម៉ាក
brass,លង្ហិន
brave,ក្លាហាន
brazil,ប្រេស៊ីល
brazilian,ប្រេស៊ីល
breach,ការបំពាន
bread,នំបុ័ង
break,សម្រាក
breakdown,បំបែកបាក់បែក
breakfast,អាហារពេលព្រឹក
breaking,ការបំបែក
breaks,សម្រាក
breast,សុដន់
breasts,ដើមទ្រូង
breath,ដកដង្ហើម
breathing,ដកដង្ហើម
breed,ពូជ
breeding,ការបង្កាត់ពូជ
breeds,ពូជ
brian,ប្រាយ
brick,ឥដ្ឋ
bridal,អាពាហ៍ពិពាហ៍
bride,កូនក្រមុំ
bridge,ស្ពាន
bridges,ស្ពាន
brief,សង្ខេប
briefing,សង្ខេប
briefly,សង្ខេប
briefs,សង្ខេប
bright,ភ្លឺ
brighton,ប្រាយតុន
brilliant,អស្ចារ្យ
bring,នាំមក
bringing,នាំយក
brings,នាំមក
bristol,ប្រីស្តូល
britain,ចក្រភពអង់គ្លេស
british,អង់គ្លេស
britney,ប្រ៊ីតនី
broad,ទូលំទូលាយ
broadband,អ៊ីនធឺណិត
broadcast,ការចាក់ផ្សាយ
broadcasting,ប្រកាស
broader,ទូលាយជាង
broadway,ផ្លូវធំទូលាយ
brochure,ខិត្តប័ណ្ណ
brochures,ខិត្តប័ណ្ណ
broke,ខូច
broken,ខូច
broker,ឈ្មួញកណ្តាល
brokers,ឈ្មួញកណ្តាល
bronze,សំរិទ្ធ
brook,ប្រូក
brother,បងប្រុស
brothers,បងប្អូន
brought,នាំមក
brown,ត្នោត
browse,រុករក
browser,កម្មវិធីរុករក
browsers,កម្មវិធីរុករក
browsing,ការរកមើល
bruce,ប្រ៊ូស
brunei,ប៊្រុយណេ
brunette,ត្នោតខ្ចី
brush,ជក់
brussels,ប្រ៊ូសសែល
brutal,ឃោរឃៅ
bubble,ពពុះ
buck,មេត្តា
bucks,ប្រាក់
budapest,ប៊ូដាប៉េស
buddy,សម្លាញ់
budget,ថវិកា
budgets,ថវិកា
buffalo,ក្របី
buffer,សតិបណ្ដោះអាសន្ន
bug,កំហុស
bugs,កំហុស
build,សាងសង់
builder,អ្នកសាងសង់
builders,អ្នកសាងសង់
building,អគារ
buildings,អគារ
builds,បង្កើត
built,សាងសង់
bukkake,ប៊ុកខេក
bulgaria,ប៊ុលហ្គារី
bulgarian,ភាសាប៊ុលហ្គារី
bulk,ភាគច្រើន
bull,គោ
bullet,គ្រាប់កាំភ្លើង
bulletin,ព្រឹត្តិបត្រ
bumper,កាងរថយន្ត
bunch,បណ្តុំ
bundle,កញ្ចប់
bunny,ទន្សាយ
burden,បន្ទុក
bureau,ការិយាល័យ
buried,កប់
burke,ប៊ឺក
burn,ដុត
burner,ឧបករណ៍សម្រាប់ដុត
burning,ការដុត
burns,ការលាក់ភ្លើង
burst,ការផ្ទុះ
burton,ប៊ឺតុន
bus,ឡានក្រុង
buses,រថយន្តធំៗ
bush,ព្រៃ
business,អាជីវកម្ម
businesses,អាជីវកម្ម
busty,មមាញឹក
busy,រវល់
but,ប៉ុន្តែ
butler,មេអំបៅ
butt,គូទ
butter,ប៊ឺ
butterfly,មេអំបៅ
button,ប៊ូតុង
buttons,ប៊ូតុង
butts,ប៊ូតុង
buy,ទិញ
buyer,អ្នកទិញ
buyers,អ្នកទិញ
buying,ការទិញ
buys,ទិញ
buzz,សំឡេងរោទ៍
bye,លាហើយ
byte,បៃ
bytes,បៃ
cabin,កាប៊ីន
cabinet,គណៈរដ្ឋមន្ត្រី
cabinets,ទូដាក់ឥវ៉ាន់
cable,ខ្សែ
cables,ខ្សែ
cache,ឃ្លាំងសម្ងាត់
cached,ឃ្លាំងសម្ងាត់
cafe,ហាងកាហ្វេ
cage,ទ្រុង
cake,នំខេក
cakes,នំខេក
cal,កាឡូរី
calcium,កាលស្យូម
calculate,គណនា
calculated,គណនា
calculation,ការគណនា
calculator,ម៉ាស៊ីនគិតលេខ
calendar,ប្រតិទិន
calibration,ការក្រិតតាមខ្នាត
california,កាលីហ្វ័រញ៉ា
call,ហៅ
called,បានហៅ
calling,ការហៅទូរស័ព្ទ
calls,ហៅ
calm,ស្ងប់ស្ងាត់
cam,កាមេរ៉ា
cambodia,ប្រទេសកម្ពុជា
cambridge,ខេមប្រ៊ីជ
camcorder,កាមេរ៉ា
camcorders,កាមេរ៉ា
came,មក
camel,សត្វអូដ្ឋ
camera,កាមេរ៉ា
cameras,កាមេរ៉ា
cameron,កាមេរ៉ូន
cameroon,កាមេរូន
camp,ជំរុំ
campaign,យុទ្ធនាការ
campaigns,យុទ្ធនាការ
campbell,បោះជំរុំ
camping,ការបោះជំរុំ
camps,ជំរំ
campus,បរិវេណសាលា
cams,កាមេរ៉ា
can,អាច
canada,កាណាដា
canadian,ជនជាតិកាណាដា
canal,ប្រឡាយ
cancel,បោះបង់
cancellation,ការផ្អាក
cancelled,បោះបង់
cancer,មហារីក
candidate,បេក្ខជន
candidates,បេក្ខជន
candle,ទៀន
candles,ទៀន
candy,ស្ករគ្រាប់
cannon,កាណុង
canon,កាណុង
cant,ច្រៀង
canvas,ផ្ទាំងក្រណាត់
canyon,អន្លង់
cap,មួក
capabilities,សមត្ថភាព
capability,សមត្ថភាព
capable,មានសមត្ថភាព
capacity,សមត្ថភាព
cape,កំពត
capital,រាជធានី
capitol,កាពីតូល
caps,មួក
captain,ប្រធានក្រុម
capture,ចាប់យក
captured,ចាប់បាន
car,ឡាន
carb,កាបូអ៊ីដ្រាត
carbon,កាបូន
card,កាត
cardiac,បេះដូង
cardiovascular,សរសៃឈាមបេះដូង
cards,កាត
care,ការថែទាំ
career,អាជីព
careers,អាជីព
careful,ប្រយ័ត្ន
carefully,ដោយប្រុងប្រយ័ត្ន
carey,ការថែទាំ
cargo,ទំនិញ
caribbean,ការាបៀន
caring,ដែលចេះថែទាំ
carl,ខាល
carnival,បុណ្យកឋិនទាន
carol,ការ៉ូល
carolina,ខារ៉ូលីណា
caroline,ការ៉ូលីន
carpet,កំរាលព្រំ
carried,ដឹក
carrier,ក្រុមហ៊ុនដឹកជញ្ជូន
carriers,នាវាផ្ទុក
carries,ដឹក
carroll,ខារ៉ូល
carry,ដឹក
carrying,ដឹក
cars,ឡាន
cart,រទេះ
cartoon,តុក្កតា
cartoons,តុក្កតា
cartridge,ប្រអប់ព្រីន
cartridges,ប្រអប់ព្រីន
casa,កាសា
case,ករណី
cases,ករណី
cash,សាច់ប្រាក់
cashiers,អ្នកគិតលុយ
casino,កាស៊ីណូ
casinos,កាស៊ីណូ
casio,ម៉ាស៊ីនគិតលេខកាសីយ៉ូ
cassette,កាសែត
cast,ដេញ
casting,ការសម្ដែង
castle,ប្រាសាទ
casual,ធម្មតា
cat,ឆ្មា
catalog,កាតាឡុក
catalogs,កាតាឡុក
catalogue,កាតាឡុក
catalyst,កាតាលីករ
catch,ចាប់
categories,ប្រភេទ
category,ប្រភេទ
catering,ការផ្តល់ម្ហូបអាហារ
cathedral,វិហារព្រះវិហារ
catholic,កាតូលិក
cats,ឆ្មា
cattle,គោក្របី
caught,ចាប់បាន
cause,មូលហេតុ
caused,បង្កឡើង
causes,មូលហេតុ
causing,បណ្តាលឱ្យមាន
caution,ការប្រុងប្រយ័ត្ន
cave,រូងភ្នំ
cayman,កោះកៃម៉ាន
cd,ស៊ីឌី
cedar,ស៊ីដា
ceiling,ពិដាន
celebrate,អបអរសាទរ
celebration,ការប្រារព្ធពិធី
celebrities,តារាល្បី
celebrity,តារាល្បី
celebs,តារាល្បី
cell,ក្រឡា
cells,កោសិកា
cellular,កោសិកា
celtic,Name
cement,ស៊ីម៉ងត៍
cemetery,ស៊ីមេទ្រី
census,ជំរឿន
cent,សេន
center,មជ្ឈមណ្ឌល
centered,កណ្ដាល
centers,មជ្ឈមណ្ឌល
central,កណ្តាល
centre,កណ្តាល
centres,មជ្ឈមណ្ឌល
cents,សេន
centuries,សតវត្ស
century,សតវត្ស
ceo,នាយក
ceramic,សេរ៉ាមិច
ceremony,ពិធី
certain,ជាក់លាក់
certainly,ប្រាកដណាស់
certificate,វិញ្ញាបនបត្រ
certificates,វិញ្ញាបនបត្រ
certification,វិញ្ញាបនប័ត្រ
certified,បញ្ជាក់
cgi,CGI
chain,ខ្សែសង្វាក់
chains,ច្រវ៉ាក់
chair,កៅអី
chairman,ប្រធាន
chairs,កៅអី
challenge,បញ្ហាប្រឈម
challenged,ប្រឈម
challenges,បញ្ហាប្រឈម
challenging,បញ្ហាប្រឈម
chamber,អង្គជំនុំជម្រះ
chambers,បន្ទប់
champagne,សាំងហ្គាពួរ
champion,ជើងឯក
champions,ជើងឯកជំរុំ
championship,ជើងឯក
championships,ជើងឯក
chance,ឱកាស
chancellor,អធិការបតី
chances,ឱកាស
change,ផ្លាស់ប្តូរ
changed,បានផ្លាស់ប្តូរ
changes,ផ្លាស់ប្តូរ
changing,ការផ្លាស់ប្តូរ
channel,ឆានែល
channels,ឆានែល
chaos,ចលាចល
chapel,វិហារ
chapter,ជំពូក
chapters,ជំពូក
char,ចារ
character,តួអក្សរ
characteristic,លក្ខណៈ
characteristics,លក្ខណៈ
characterization,លក្ខណៈ
characterized,បានកំណត់លក្ខណៈ
characters,តួអក្សរ
charge,គិតថ្លៃ
charged,ចោទប្រកាន់
charger,ឆ្នាំងសាក
chargers,ឆ្នាំងសាក
charges,ការចោទប្រកាន់
charging,កំពុងសាកថ្ម
charitable,សប្បុរសធម៌
charity,សប្បុរសធម៌
charles,លោកCharles
charlie,ឆាលី
charlotte,ឆាឡុត
charm,ភាពទាក់ទាញ
charming,មន្តស្នេហ៍
charms,ភាពទាក់ទាញ
chart,តារាង
charter,ធម្មនុញ្ញ
charts,តារាង
chase,ដេញតាម
chassis,សាក់ស៊ីរថយន្ត
cheap,ថោក
cheaper,ថោកជាង
cheapest,ដែលថោកបំផុត
cheat,បោក
cheats,ការបន្លំ
check,ពិនិត្យ
checked,បានពិនិត្យ
checking,ការត្រួតពិនិត្យ
checklist,បញ្ជីត្រួតពិនិត្យ
checkout,ពិនិត្យចេញ
checks,ពិនិត្យ
cheers,អបអរសាទរ
cheese,ឈីស
chef,មេចុងភៅ
chemical,គីមី
chemicals,សារធាតុគីមី
chemistry,គីមីវិទ្យា
cheque,មូលប្បទានបត្រ
cherry,ឈៀររី
chess,ចត្រង្គ
chest,ទ្រូង
chevy,ឆេវឆាវ
chicago,ឈីកាហ្គោ
chicken,មាន់
chicks,កូនមាន់
chief,មេ
child,កូន
childhood,កុមារភាព
children,កុមារ
childrens,កុមារ
chile,ឈីលី
china,ចិន
chinese,ចិន
chip,បន្ទះសៀគ្វី
chips,បន្ទះសៀគ្វី
